colorVal	CoreID	Tech_Prefix_Calc	Year	Month	Day	D1	d2	h	m	N1	mu	mu_i	Frequency	Linearity	FeLoss	Limit_Freq
-41	F70214-1-1	F	2017	2	14	23,8	16,9	10	14,19	20	748,15566	751,139856	100,059272	0,690682	0,020576319	6,656549989
-1317	F70301-3-3	F	2017	3	1	22,54	17,47	10	10,06	6	99,538728	721,464842	249,895627	0,228586	0,042229434	6,930344639
-164	F70623-1-1-f	F	2017	6	23	23,2	13,7	9,9	15	20	407,55924	349,464041	100,106581	0	0,177644849	14,30762371
-1856	F70828-1LK-1	F	2017	8	28	23,2	17	10	11,14	6	61475,60182	-450,74394	100,076264	31,433355	8,618950951	11,09277254
-79	F70828-1LK-3	F	2017	8	28	22,8	17,05	10	10,9	6	93503,00918	-476,409233	100,07582	50,97204	12,91788219	10,49517863
-931	F70831-12VF-42	F	2017	8	31	22,5	17,78	20	19,36	6	562,351787	555,181614	100,11961	0,650355	0,057734963	9,006061933
-191	F70831-12VF-43	F	2017	8	31	22,57	17,64	20	19,01	6	569,742843	616,234865	100,12641	0,656607	0,010359306	8,113789537
-2983	F70831-12VF-44	F	2017	8	31	19,93	18,28	20	18,56	6	586,680591	585,922763	100,06571	0,611303	0,010818805	8,533547962
-341	F80727-3VF-2	F	2018	7	27	55,83	48,4	18	72,45	30	799,336717	833,37081	99,967292	0,659636	0,008101383	5,99973018
-3846	F80730-1VF-2	F	2018	7	30	58,3	48,4	18	84,32	30	866,194074	899,017612	100,096315	0,731423	0,008829144	5,561626305
-278	F80730-2VF-2	F	2018	7	30	58,03	48,4	18	86,49	30	907,228367	925,558541	100,080142	0,744428	0,005852108	5,402143439
-3019	F80801-1VF-2	F	2018	8	1	59	48,4	18	99,51	30	1032,34179	1015,732428	100,08366	0,615875	0,005638246	4,922556238
-523	F80911-1VF-3	F	2018	9	11	24,15	17	6	8,33	15	1368,705739	494,492233	110,044234	0	0,205746132	10,11138228
-2357	F81030-4VF-1	F	2018	10	30	173,7	149	18	656,63	50	419,501114	452,722786	100,100735	0,27767	0,026739745	11,04428616
-985	F81207-18VF-1	F	2018	12	7	58,63	47	30	162,2	46	356,03592	347,334527	100,119855	0,433876	0,007611129	14,395344
